feature,score
lag_1,1878.3105934504517
hour,873.3364651794066
roll_mean_3,851.8007870265553
lag_24,777.3758262441793
lag_168,558.404824121127
roll_mean_24,468.9884962023326
roll_std_3,320.70997970869144
dayofweek,302.8240663872819
roll_mean_168,243.50902855915297
hour & lag_1,207.45286869388178
hour & month,199.97633097203865
hour & roll_std_3,160.67636827992888
lag_1 & lag_24,157.28593324835634
is_weekend,133.95708080140196
hour & roll_std_24,119.80853325663851
lag_1 & roll_mean_3,114.73204639286098
hour & lag_24,101.33553628461728
roll_std_24,93.71995010938778
lag_1 & lag_168,91.66135843227318
hour & roll_std_168,91.34894229114627
hour & dayofweek,88.42661301558186
roll_std_168,84.62635552973332
lag_1 & roll_mean_24,79.12826930518888
hour & is_weekend,79.10492007290043
hour & lag_168,76.68117071252311
lag_1 & roll_std_168,73.16165058031658
lag_1 & roll_mean_168,72.87730199823156
lag_1 & roll_std_3,68.1409238598367
dayofweek & lag_1,67.24351820570206
lag_1 & roll_std_24,65.64315124101145
month & lag_1,61.59344264902006
is_weekend & lag_1,57.01229219686368
month,52.54375969774981
hour & roll_mean_168,49.48440669132246
hour & roll_mean_3,45.4848795714174
is_weekend & roll_mean_3,42.51367375555122
lag_24 & roll_mean_3,42.30413024592037
lag_24 & roll_std_3,41.522680893943445
dayofweek & roll_mean_24,41.43437473942251
dayofweek & lag_24,41.2462737685325
hour & roll_mean_24,40.19593472459972
lag_24 & roll_std_168,39.7741911264024
lag_24 & roll_mean_168,39.11898634067401
lag_24 & roll_std_24,38.582676113158314
roll_std_3 & roll_mean_24,37.97762381253535
lag_24 & lag_168,36.85601253858103
roll_mean_3 & roll_mean_24,34.598057027269085
lag_24 & roll_mean_24,33.61226560658243
month & lag_24,33.50462756644544
roll_mean_24 & roll_mean_168,32.72799350475725
dayofweek & lag_168,32.704862308150275
dayofweek & roll_mean_3,30.66559950645738
lag_168 & roll_mean_168,30.163686453965475
lag_168 & roll_std_3,29.49334608895823
dayofweek & roll_std_3,29.329624428481736
lag_168 & roll_mean_3,28.897767823072662
lag_168 & roll_mean_24,27.858247594460003
roll_mean_24 & roll_std_168,27.720078319405513
month & lag_168,27.616725097701284
is_weekend & lag_24,27.571388760674427
lag_168 & roll_std_168,25.66577956223998
roll_mean_3 & roll_std_24,25.571049105235215
dayofweek & roll_std_24,24.912714418895415
lag_168 & roll_std_24,23.766554510669028
month & roll_std_3,22.553336750075864
roll_std_3 & roll_std_168,22.118748699916914
roll_mean_3 & roll_std_3,21.65422015713568
roll_mean_3 & roll_mean_168,19.850273097930405
dayofweek & roll_std_168,19.770753727227607
is_weekend & lag_168,19.212519358022007
roll_std_3 & roll_std_24,18.1647826847275
roll_mean_24 & roll_std_24,17.211090040686223
month & roll_std_24,15.024690634690005
roll_mean_3 & roll_std_168,14.140750175822394
roll_std_24 & roll_mean_168,13.907237116440545
roll_std_24 & roll_std_168,13.728107784095295
month & roll_mean_3,12.718995116078815
roll_mean_168 & roll_std_168,11.700241483520015
